APIES;lat;lon
7;-34.54595;-58.47089
23;-34.62245;-58.39
44;-34.68075;-58.45034
47;-34.66209;-58.51717
64;-34.62605;-58.5097
67;-34.69622;-58.46859
70;-34.673;-58.47842
82;-34.60805;-58.44684
136;-34.614;-58.47264
149;-34.61814;-58.5302
151;-34.51205;-58.5213
182;-34.49855;-58.48434
247;-34.59354;-58.62225
251;-34.63464;-58.60829
253;-34.646;-58.5945
259;-34.65764;-58.65884
276;-34.66545;-58.69445
280;-34.502;-58.64564
282;-34.35842;-58.79992
304;-34.4605749;-58.63452627
317;-34.45404;-58.9085
321;-34.53295;-58.70147
335;-34.6333;-58.79139
400;-34.8065;-58.48342
402;-34.69864;-58.39189
403;-34.75554;-58.40125
406;-34.69609;-58.40787
411;-34.6895;-58.41837
421;-34.12114;-59.01384
439;-34.73312;-58.40987
440;-34.74337;-58.43025
452;-34.8022;-58.3755
457;-34.8802;-58.38945
458;-34.79197;-58.3578
465;-34.7868;-58.23822
501;-34.90645;-57.96067
523;-34.87522;-57.89605
540;-35.77105;-58.52012
541;-35.77187;-58.49322
550;-35.43587;-58.78164
567;-35.5685;-58.0158
578;-35.64055515;-59.78549355
630;-33.90105;-61.10984
739;-34.76392;-58.63709
753;-34.69214;-58.50054
762;-34.6815;-58.51289
802;-34.67937;-58.5497
860;-31.60609;-60.67637
881;-29.88345;-61.94434
1014;-32.80254;-60.72067
1320;-27.5342;-58.75929
1405;-28.58481964;-62.96520028
1414;-34.57289;-58.6923
1415;-34.57842;-58.52929
1416;-34.57117;-58.74387
1430;-27.3912;-55.90045
1631;-36.99759;-57.1408
1635;-35.65812;-63.75555
1798;-38.94742;-68.0455
1800;-38.95027435;-68.10055417
1806;-35.47537;-60.86522
1810;-35.45945;-60.9232
1934;-36.61517;-64.29012
1955;-37.31345;-59.1128
1973;-43.25514;-65.30717
2032;-31.39764;-64.23475
2045;-35.65492;-63.74797
2153;-31.34412;-63.93979
2206;-32.89134;-62.68017
2398;-27.73710571;-64.24566528
2401;-27.93864927;-63.86272956
2523;-24.80579;-65.41995
2555;-24.79712;-65.43264
2563;-34.71472;-58.50775
2592;-22.59189;-63.8033
2678;-31.56237938;-68.45504828
2746;-34.60539;-68.36087
2762;-34.96859;-67.72254
2780;-33.59084;-69.01605
2812;-32.98579;-68.7912
2846;-33.6485;-65.45025
2904;-34.13489;-59.04729
2907;-34.57155;-58.50692
2913;-36.63155;-64.29572
2915;-34.7603;-58.27792
2916;-34.44562;-58.871
2952;-35.69017;-63.78217
2972;-34.50822;-58.49179
2987;-34.51312;-58.52234
2992;-34.58576;-58.98255
3002;-34.6533;-58.6302
3011;-35.05262;-60.26229
3022;-34.79279;-58.41429
3047;-34.63275;-58.47809
3060;-28.93745;-59.56072
3073;-34.52537;-58.47172
3113;-34.50092;-58.54692
3150;-34.77359;-58.26767
3160;-34.5963;-58.42629
3166;-34.63772;-58.56464
3227;-27.3725;-55.91184
3231;-33.15212;-64.35954
3253;-34.19872;-58.93797
3254;-34.19905;-58.93847
3258;-34.59247;-58.56104
3265;-34.52304;-58.51022
3267;-34.50534;-58.52572
3299;-34.68492;-58.30322
3318;-34.58312;-58.4322
3326;-34.66939;-58.38084
3339;-34.50864;-58.72854
3340;-34.55017;-58.46687
11588;-34.55304;-58.69695
11684;-30.88780881;-63.24894558
11770;-32.8658;-68.83254
13499;-34.53967;-58.71599
15243;-35.77412;-58.50689
15338;-34.58420824;-58.5714302
15787;-34.46619;-58.55525
15925;-34.66008;-58.50346
16053;-34.44122;-58.584
19014;-29.7144401;-57.2162857
30185;-33.10522;-64.33679
30536;-31.3689;-58.01097
30548;-34.4872;-58.59089
30673;-34.52825;-58.77212
30847;-33.11445;-64.33122
30866;-34.44445;-58.57847
31055;-27.47244;-58.80579
31058;-33.02267;-58.53485
31059;-34.89637;-57.94145
31077;-26.80237;-65.29147
31112;-33.13835;-64.3762
31121;-38.911366;-68.144629
31160;-38.69774523;-62.43045061
31171;-34.40211649;-58.63402832
31183;-34.70005291;-58.54255488
31201;-35.03102388;-58.72476479
31210;-35.642459;-63.783335
